,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
68,Data Scientist,USD 110K - 130K (Employer est.),"3-5 years of experience in data science or related field. Bachelor's degree in Mathematics, Statistics, Computer Science, or related field.…",-1,"InnovaSystems, A Cydecor Company","Arlington, VA",-1,-1,-1,-1,-1,-1
69,Data Scientist,USD 105K - 143K (Glassdoor est.),"Master’s Degree in Statistics, Data Science or related field. You will work collaboratively with data engineers and data mappers to design, build and scale our……",3.7,CARFAX,"Columbia, MO",1001 to 5000 Employees,1984,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
70,Sr Data Scientist - AI/ML,USD 91K - 130K (Glassdoor est.),"Strong business orientation and problem-solving skills with great attention to details; Ability to solve complex problems using creative ideas, state-of-the-art……",3.4,Kelly,"West Chester, PA",5001 to 10000 Employees,1946,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD)
71,"Senior Scientist (Process Engineer – Data Scientist), Research & Development-Frozen Handheld and Spreads",-1,"Provide technical leadership for process development through the lens of Data Science for new products, including design of pilot plant (PRL) experiments,……",3.6,The J. M. Smucker Company,"Orrville, OH",5001 to 10000 Employees,1897,Company - Public,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD)
72,Senior Lead Architect- Data / Information,USD 87K - 138K (Glassdoor est.),Formal training or certification on software engineering concepts and 5+ years of applied experience. You drive significant business impact and help shape the……,4.0,JPMorgan Chase & Co,"Chicago, IL",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
73,Lead/Senior Bioinformatics Research Scientist- Data Scientist,USD 104K - 186K (Employer est.),"Bachelor's degree in bioinformatics, cheminformatics, statistics/computer science (with a background in biological sciences or chemistry) or related field.…",4.6,St. Jude Children's Research Hospital,"Memphis, TN",5001 to 10000 Employees,1962,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
74,Senior Statistical Programmer - Operations,USD 65.00 - 82.00 Per Hour (Employer est.),"They will be strong hands-on contributors to the team, providing support through production of analysis datasets, analysis dataset specifications, tables,……",4.4,Redbock,Remote,51 to 200 Employees,2010,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
75,Data Science Opportunities,USD 132K - 204K (Glassdoor est.),"Leads technical work of a scrum team: initiating and designing model solutions, driving end-to-end architecture designs of the team’s work, and holding the team……",4.4,Intuit,"Atlanta, GA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD)
76,"System Dev Engineer II, AI/ML ADC",USD 103K (Employer est.),"They will dive deeply into technical issues and work diligently to improve the customer experience. You design, implement, and deploy software components and……",3.6,"Amazon Development Center U.S., Inc.","Denver, CO",5001 to 10000 Employees,--,Subsidiary or Business Segment,Shipping & Trucking,Transportation & Logistics,Unknown / Non-Applicable
77,Data Architect II,USD 85K - 120K (Glassdoor est.),"Solid understanding of software applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning,……",4.0,JPMorgan Chase & Co,"Newark, DE",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
78,Senior Data Scientist (Model Risk Management),USD 108K - 160K (Employer est.),"Master’s degree in Data Science, Statistics, Mathematics, Economy, Computer Science, Engineering or another quantitative field, or related field, or the……",4.1,Navy Federal Credit Union,"Vienna, VA",10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable
79,Data Visualization PowerBI Developer,USD 84K - 112K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Gilbert, AZ",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
80,Data Science Technical Fellow,USD 214K - 310K (Employer est.),Partner with senior leadership to develop and influence our long-term technical strategy. Propose and own initiatives that improve the efficiency and……,4.2,Indeed,United States,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
81,Associate Director/Director Statistical Science,USD 160K - 210K (Employer est.),Comprehensive knowledge of statistical methodology in design and analysis of clinical trials including Bayesian modeling and adaptive design.…,-1,Rakuten Medical Inc. - US,"San Diego, CA",-1,-1,-1,-1,-1,-1
82,Data Scientist (Skunkworks) - REMOTE,USD 135K - 155K (Employer est.),"Design algorithms and models to infer key transportation patterns from various data sources, both StreetLight’s own data and metrics as well as third party data……",4.7,StreetLight Data,"Seattle, WA",51 to 200 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD)
83,Data Scientist,USD 90K - 120K (Employer est.),"Proficiency in data science tools and languages, especially Python, Spark, and SQL, with a strong understanding of AWS services relevant to data processing and……",-1,Behold Bev AI,United States,-1,-1,-1,-1,-1,-1
84,"Manager, Data Scientist - Business Card & Payments",-1,You have hands-on experience developing data science solutions using open-source tools and cloud computing platforms. At least 4 years’ experience with SQL.…,3.9,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
85,Sr. Data Scientist - Platform Financial Intelligence,USD 92K - 127K (Glassdoor est.),"Proficient in data science tools and programming languages such as Python, Spark/Scala, SQL. Work with a variety of Data/ Data science platforms such as……",3.7,FIS,"Seattle, WA",10000+ Employees,1968,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD)
86,Senior Data Scientist,USD 112K - 145K (Glassdoor est.),"Effective Communication: Communicate complex technical concepts clearly and concisely to both technical and non-technical stakeholders, fostering a culture of……",3.7,Vanguard,"Malvern, PA",10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
87,"Senior Product Owner, Data Science & AI",USD 117K - 157K (Glassdoor est.),"Bachelor’s degree in computer science, Data Science, or a related field. Stay updated on emerging technologies in the AI/ML field and assess their potential……",3.4,Clean Harbors,"Norwell, MA",10000+ Employees,1980,Company - Public,Shipping & Trucking,Transportation & Logistics,$1 to $5 billion (USD)
88,Decision Science Analyst Senior,-1,"Advanced knowledge of data analysis tools, data visualization, developing analysis queries and procedures in SQL, SAS, BI tools or other analysis software, and……",3.3,USAA,"San Antonio, TX",10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$25 to $100 million (USD)
89,Sr. Data Analyst,USD 85K - 110K (Employer est.),Write clean code that can be maintained and extended by other technical stakeholders. Stay up-to-date with industry technologies and frameworks to identify……,4.1,SteadyMD,United States,51 to 200 Employees,2016,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
